# BUSCO version is: 5.2.2 
# The lineage dataset is: actinopterygii_odb10 (Creation date: 2021-02-19, number of genomes: 26, number of BUSCOs: 3640)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4171at7898	Complete	NC_007123.7	38809211	38854676	+	2401.1	1350	https://www.orthodb.org/v10?query=4171at7898	ATP-binding cassette, sub-family A (ABC1), member 5
4182at7898	Complete	NC_007118.7	18883567	18983137	+	2324.5	1540	https://www.orthodb.org/v10?query=4182at7898	focadhesin
4232at7898	Complete	NC_007131.7	219196	259667	+	2291.1	1536	https://www.orthodb.org/v10?query=4232at7898	laminin subunit alpha-4
4361at7898	Complete	NC_007118.7	50644426	50764506	-	2452.3	1325	https://www.orthodb.org/v10?query=4361at7898	ras GTPase-activating-like protein IQGAP1
4363at7898	Complete	NC_007129.7	6900624	6981979	-	2229.6	1998	https://www.orthodb.org/v10?query=4363at7898	kielin/chordin-like protein
4391at7898	Complete	NC_007123.7	22560383	22571326	+	3878.5	1942	https://www.orthodb.org/v10?query=4391at7898	DNA-directed RNA polymerase II subunit RPB1
4483at7898	Missing
4528at7898	Complete	NC_007114.7	26911190	26927332	-	735.9	610	https://www.orthodb.org/v10?query=4528at7898	MHC class II transactivator
4610at7898	Complete	NC_007114.7	12593557	12698288	+	2632.2	1406	https://www.orthodb.org/v10?query=4610at7898	ATP-binding cassette sub-family A member 3
4629at7898	Complete	NC_007124.7	35791373	35826843	-	2481.8	1317	https://www.orthodb.org/v10?query=4629at7898	Mitogen-activated protein kinase kinase kinase 4
4817at7898	Complete	NC_007129.7	37119973	37201546	+	1985.3	1272	https://www.orthodb.org/v10?query=4817at7898	signal-induced proliferation-associated 1-like protein 3
4849at7898	Complete	NC_007128.7	7539068	7588722	+	2863.8	1356	https://www.orthodb.org/v10?query=4849at7898	SNF2 histone linker PHD RING helicase
4922at7898	Complete	NC_007124.7	16342925	16495428	+	3008.0	1664	https://www.orthodb.org/v10?query=4922at7898	disks large homolog 5 isoform X1
4973at7898	Complete	NC_007118.7	64378070	64552600	-	1761.0	1098	https://www.orthodb.org/v10?query=4973at7898	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2
5000at7898	Complete	NC_007121.7	17171744	17221724	-	2651.8	1309
5022at7898	Complete	NC_007131.7	51489285	51547423	-	2328.2	1331	https://www.orthodb.org/v10?query=5022at7898	protein dispatched homolog 1
5033at7898	Complete	NC_007128.7	31185411	31202262	+	1945.2	1171	https://www.orthodb.org/v10?query=5033at7898	protein dispatched homolog 2
5058at7898	Complete	NC_007124.7	33175262	33207423	-	2490.9	1741	https://www.orthodb.org/v10?query=5058at7898	thyroid receptor-interacting protein 11
5200at7898	Complete	NC_007131.7	22436861	22471349	-	1858.1	1263
5468at7898	Complete	NC_007135.7	20333109	20369425	-	2026.4	1418	https://www.orthodb.org/v10?query=5468at7898	deleted in lung and esophageal cancer protein 1
5477at7898	Complete	NC_007124.7	31473204	31514067	+	1706.1	1167	https://www.orthodb.org/v10?query=5477at7898	leucine-rich repeat-containing protein 9-like
5479at7898	Complete	NC_007123.7	47795029	47862049	+	2277.7	1172	https://www.orthodb.org/v10?query=5479at7898	DNA-directed RNA polymerase III subunit RPC1
5517at7898	Complete	NC_007129.7	20677183	20722544	+	2154.1	1262	https://www.orthodb.org/v10?query=5517at7898	Cystic fibrosis transmembrane conductance regulator
5528at7898	Complete	NC_007133.7	23493238	23545232	-	1384.3	1086	https://www.orthodb.org/v10?query=5528at7898	protein crumbs homolog 1
5566at7898	Complete	NC_007122.7	2902576	2969747	+	2598.6	1426	https://www.orthodb.org/v10?query=5566at7898	Kinesin family member 21B
5588at7898	Complete	NC_007132.7	26030371	26057473	+	3070.1	1600	https://www.orthodb.org/v10?query=5588at7898	Transcription elongation factor spt6
5604at7898	Complete	NC_007131.7	2499915	2583968	-	2438.9	1200	https://www.orthodb.org/v10?query=5604at7898	mediator of RNA polymerase II transcription subunit 23
5622at7898	Complete	NC_007112.7	26677541	26700175	+	1365.5	1486
5661at7898	Complete	NC_007121.7	6522569	6582951	-	2634.6	1433	https://www.orthodb.org/v10?query=5661at7898	chromodomain-helicase-DNA-binding protein 1
5736at7898	Complete	NC_007136.7	4787886	4832991	+	2476.6	1571
5752at7898	Complete	NC_007128.7	51020116	51121524	-	2235.5	1159	https://www.orthodb.org/v10?query=5752at7898	intron-binding protein aquarius
5794at7898	Complete	NC_007124.7	22822138	22839427	+	1638.9	924	https://www.orthodb.org/v10?query=5794at7898	DNA replication ATP-dependent helicase/nuclease DNA2
5900at7898	Fragmented	NC_007128.7	648926	702813	+	1194.1	790	https://www.orthodb.org/v10?query=5900at7898	Fanconi anemia group M protein
6083at7898	Complete	NC_007113.7	22531956	22565490	+	1778.4	1080
6094at7898	Complete	NC_007131.7	6308566	6465905	-	1923.8	1115	https://www.orthodb.org/v10?query=6094at7898	Trafficking protein particle complex 8
6107at7898	Complete	NC_007128.7	37948019	38021588	+	1955.4	1063	https://www.orthodb.org/v10?query=6107at7898	pleckstrin homology domain-containing family H member 1
6114at7898	Fragmented	NC_007121.7	45388865	45416162	+	868.1	586	https://www.orthodb.org/v10?query=6114at7898	unconventional myosin-XVIIIb
6141at7898	Complete	NC_007135.7	34970679	35003371	+	1965.6	1633	https://www.orthodb.org/v10?query=6141at7898	RB1-inducible coiled-coil protein 1
6211at7898	Complete	NC_007122.7	11021928	11109959	+	1794.6	1226	https://www.orthodb.org/v10?query=6211at7898	secretory phospholipase A2 receptor
6222at7898	Complete	NC_007127.7	14026479	14054928	+	1793.7	1303	https://www.orthodb.org/v10?query=6222at7898	RUN and SH3 domain-containing protein 1
6239at7898	Complete	NC_007126.7	25323039	25367061	-	2247.0	1072	https://www.orthodb.org/v10?query=6239at7898	Clustered mitochondria protein homolog
6262at7898	Complete	NC_007134.7	20451143	20509715	+	2084.4	1323	https://www.orthodb.org/v10?query=6262at7898	collagen alpha-1(XX) chain isoform X1
6305at7898	Complete	NC_007112.7	38776269	38802418	+	2128.0	1052	https://www.orthodb.org/v10?query=6305at7898	WD repeat-containing protein 17 isoform X1
6349at7898	Complete	NC_007132.7	36396863	36439973	+	1960.9	1176	https://www.orthodb.org/v10?query=6349at7898	Gem (nuclear organelle) associated protein 5
6383at7898	Complete	NC_007129.7	45677481	45697563	+	1537.9	1469	https://www.orthodb.org/v10?query=6383at7898	glutamine and serine-rich protein 1
6557at7898	Complete	NC_007121.7	23099946	23138265	+	2255.5	1422	https://www.orthodb.org/v10?query=6557at7898	Listerin E3 ubiquitin protein ligase 1
6598at7898	Complete	NC_007124.7	24234676	24257615	-	1707.2	1237	https://www.orthodb.org/v10?query=6598at7898	unhealthy ribosome biogenesis protein 2 homolog
6715at7898	Complete	NC_007121.7	1597368	1635226	-	2353.6	1223	https://www.orthodb.org/v10?query=6715at7898	Nucleoporin 155
6807at7898	Complete	NC_007112.7	45870207	45913798	-	2230.4	1104
6854at7898	Complete	NC_007113.7	35390459	35473582	+	2053.1	1156	https://www.orthodb.org/v10?query=6854at7898	tenascin-R
6873at7898	Complete	NC_007135.7	23840951	23931774	+	2277.4	1211	https://www.orthodb.org/v10?query=6873at7898	DNA polymerase
6908at7898	Complete	NC_007120.7	32162267	32175263	-	2675.6	1202	https://www.orthodb.org/v10?query=6908at7898	Splicing factor 3b, subunit 1
6910at7898	Complete	NW_003335764.1	63122	123545	+	1784.3	928
6926at7898	Complete	NC_007123.7	22532492	22537201	-	1307.7	1086	https://www.orthodb.org/v10?query=6926at7898	zinc finger and BTB domain-containing protein 4
6936at7898	Complete	NC_007128.7	25611033	25630645	-	2015.5	1150	https://www.orthodb.org/v10?query=6936at7898	rab3 GTPase-activating protein non-catalytic subunit
6976at7898	Complete	NC_007135.7	39542247	39603370	+	1725.2	1129	https://www.orthodb.org/v10?query=6976at7898	protein KIAA0556 homolog isoform X1
6978at7898	Complete	NW_003336534.1	552	13107	+	2152.9	1216
7042at7898	Duplicated	NC_007118.7	42461867	42544533	+	1476.2	1001	https://www.orthodb.org/v10?query=7042at7898	ADAM metallopeptidase with thrombospondin type 1 motif, 16
7042at7898	Duplicated	NC_007127.7	1100856	1176499	+	1549.1	1024	https://www.orthodb.org/v10?query=7042at7898	ADAM metallopeptidase with thrombospondin type 1 motif, 16
7133at7898	Complete	NC_007129.7	24935063	24988660	-	2647.7	1536	https://www.orthodb.org/v10?query=7133at7898	Chromodomain helicase DNA binding protein 2
7219at7898	Complete	NC_007136.7	7398688	7413707	+	2134.9	1353	https://www.orthodb.org/v10?query=7219at7898	pseudopodium-enriched atypical kinase 1
7222at7898	Complete	NC_007118.7	65398359	65463136	+	2085.7	1185	https://www.orthodb.org/v10?query=7222at7898	ubiquitin carboxyl-terminal hydrolase 47 isoform X1
7263at7898	Complete	NC_007131.7	33708610	33737684	+	1886.8	1486
7318at7898	Complete	NC_007117.7	42292810	42336558	-	2070.1	1262	https://www.orthodb.org/v10?query=7318at7898	Fanconi anemia group D2 protein
7346at7898	Complete	NC_007112.7	49437445	49480953	+	2117.4	1533	https://www.orthodb.org/v10?query=7346at7898	protein RRP5 homolog
7429at7898	Complete	NC_007136.7	37446860	37460949	+	1098.4	1027	https://www.orthodb.org/v10?query=7429at7898	Fanconi anemia group A protein
7492at7898	Complete	NC_007121.7	1527205	1588063	-	2131.4	1813
7534at7898	Complete	NC_007135.7	9696792	9735012	+	1785.6	1158	https://www.orthodb.org/v10?query=7534at7898	DNA topoisomerase 2-binding protein 1
7550at7898	Complete	NC_007129.7	18551102	18583383	-	2259.0	1094	https://www.orthodb.org/v10?query=7550at7898	splicing factor 3B subunit 3
7580at7898	Complete	NC_007124.7	48358634	48380933	+	2171.8	1183	https://www.orthodb.org/v10?query=7580at7898	DNA mismatch repair protein Msh6
7677at7898	Missing
7712at7898	Complete	NC_007128.7	31535918	31579366	-	1914.4	1176
7715at7898	Complete	NC_007132.7	43287240	43310484	+	1280.0	1074	https://www.orthodb.org/v10?query=7715at7898	Shroom family member 1
7742at7898	Complete	NC_007124.7	2733097	2826216	+	1959.4	1015	https://www.orthodb.org/v10?query=7742at7898	WD repeat-containing protein 11
7793at7898	Complete	NC_007112.7	418956	442139	+	2111.1	1097
7801at7898	Complete	NC_007127.7	28995301	29024267	+	1984.5	1501	https://www.orthodb.org/v10?query=7801at7898	GON-4-like protein
7847at7898	Complete	NC_007123.7	47085572	47115436	+	1914.7	1052	https://www.orthodb.org/v10?query=7847at7898	methionine synthase
7869at7898	Complete	NC_007129.7	26429666	26453695	+	1730.1	1124	https://www.orthodb.org/v10?query=7869at7898	Bloom syndrome protein isoform X1
7900at7898	Complete	NC_007114.7	27607359	27639436	+	1930.9	940	https://www.orthodb.org/v10?query=7900at7898	ubiquitin carboxyl-terminal hydrolase 7 isoform X1
7928at7898	Complete	NC_007116.7	50241386	50356495	-	1267.7	988	https://www.orthodb.org/v10?query=7928at7898	uncharacterized protein KIAA0825 homolog
7953at7898	Complete	NC_007124.7	37656277	37673016	+	1365.9	1234	https://www.orthodb.org/v10?query=7953at7898	PHD finger protein 3 isoform X1
8043at7898	Complete	NC_007125.7	36279903	36320271	-	1186.8	866	https://www.orthodb.org/v10?query=8043at7898	pro-epidermal growth factor
8044at7898	Complete	NC_007134.7	6675841	6722100	-	2686.5	2259	https://www.orthodb.org/v10?query=8044at7898	bromodomain adjacent to zinc finger domain protein 2A
8172at7898	Complete	NC_007113.7	54755225	54786376	+	1770.8	1339
8186at7898	Complete	NC_007128.7	51123441	51195442	-	1560.1	991	https://www.orthodb.org/v10?query=8186at7898	papilin isoform X1
8190at7898	Complete	NC_007122.7	1337712	1391256	-	2019.1	1088
8271at7898	Complete	NC_007124.7	24718216	24742981	+	1707.6	1330	https://www.orthodb.org/v10?query=8271at7898	cilia- and flagella-associated protein 43
8276at7898	Complete	NC_007122.7	23810147	23879643	+	2147.4	1174	https://www.orthodb.org/v10?query=8276at7898	neurofascin isoform X1
8300at7898	Complete	NC_007119.7	29898714	29926923	-	1419.4	928	https://www.orthodb.org/v10?query=8300at7898	Excision repair cross-complementation group 6-like 2
8356at7898	Fragmented	NC_007132.7	41029399	41070070	-	1351.5	725	https://www.orthodb.org/v10?query=8356at7898	leucine--tRNA ligase, cytoplasmic
8392at7898	Complete	NC_007124.7	8320880	8353075	-	1968.0	1120	https://www.orthodb.org/v10?query=8392at7898	putative ATP-dependent RNA helicase DHX57
8403at7898	Complete	NC_007115.7	18209326	18280902	-	1976.2	1176	https://www.orthodb.org/v10?query=8403at7898	UHRF1-binding protein 1-like
8407at7898	Complete	NC_007121.7	11594000	11756658	-	1972.4	950	https://www.orthodb.org/v10?query=8407at7898	A disintegrin and metalloproteinase with thrombospondin motifs 6
8413at7898	Complete	NC_007124.7	10799473	10922380	+	1787.1	1233	https://www.orthodb.org/v10?query=8413at7898	Leucine-rich pentatricopeptide repeat containing
8448at7898	Complete	NC_007127.7	32281532	32303799	-	1438.9	980	https://www.orthodb.org/v10?query=8448at7898	protein MMS22-like
8465at7898	Complete	NC_007130.7	42694210	42801545	+	2305.5	1271	https://www.orthodb.org/v10?query=8465at7898	CLIP-associating protein 2 isoform X1
8496at7898	Complete	NC_007129.7	15382031	15420167	-	2040.5	973	https://www.orthodb.org/v10?query=8496at7898	DNA-directed RNA polymerase III subunit RPC2
8587at7898	Complete	NC_007124.7	31402164	31422945	+	1758.1	1086	https://www.orthodb.org/v10?query=8587at7898	putative ATP-dependent RNA helicase TDRD9
8605at7898	Complete	NC_007124.7	39188736	39227385	+	1826.2	1045	https://www.orthodb.org/v10?query=8605at7898	protein FAM135A isoform X1
8815at7898	Complete	NC_007135.7	9615378	9657292	+	1694.3	918	https://www.orthodb.org/v10?query=8815at7898	nephrocystin-3
8836at7898	Complete	NC_007123.7	15721892	15822782	+	1838.0	1132	https://www.orthodb.org/v10?query=8836at7898	supervillin-like
8889at7898	Complete	NC_007124.7	41917673	41940401	+	1842.4	935	https://www.orthodb.org/v10?query=8889at7898	DNA-directed RNA polymerase I subunit RPA2
8910at7898	Complete	NC_007119.7	38026685	38159130	-	1897.9	1119
8916at7898	Complete	NC_007125.7	32793622	32824350	-	1688.5	975	https://www.orthodb.org/v10?query=8916at7898	Inositol polyphosphate phosphatase-like 1b
8936at7898	Complete	NC_007127.7	52390541	52508033	+	1750.8	1168	https://www.orthodb.org/v10?query=8936at7898	myomesin-3-like
8999at7898	Complete	NC_007123.7	15273303	15311841	+	2188.3	1454	https://www.orthodb.org/v10?query=8999at7898	mediator of RNA polymerase II transcription subunit 1
9010at7898	Complete	NC_007114.7	40207569	40232527	-	2090.5	1030	https://www.orthodb.org/v10?query=9010at7898	protein flightless-1 homolog
9020at7898	Complete	NC_007117.7	59428950	59446277	-	1564.8	957
9061at7898	Complete	NC_007128.7	2337835	2421985	-	1240.9	825	https://www.orthodb.org/v10?query=9061at7898	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2
9138at7898	Complete	NC_007131.7	25645587	25659204	+	1189.1	823	https://www.orthodb.org/v10?query=9138at7898	acyl-CoA synthetase family member 4 isoform X1
9151at7898	Complete	NC_007124.7	25585358	25632646	-	1509.0	871	https://www.orthodb.org/v10?query=9151at7898	proto-oncogene tyrosine-protein kinase receptor Ret
9159at7898	Complete	NC_007114.7	52899911	52951611	+	1883.9	1010	https://www.orthodb.org/v10?query=9159at7898	manganese-transporting ATPase 13A1
9174at7898	Complete	NC_007119.7	40525024	40555176	-	1617.2	943	https://www.orthodb.org/v10?query=9174at7898	Niemann-Pick C1-like protein 1
9176at7898	Complete	NC_007126.7	36556539	36727449	-	1586.6	1026	https://www.orthodb.org/v10?query=9176at7898	nephrin
9220at7898	Complete	NC_007116.7	20886772	20921676	-	2143.4	1535	https://www.orthodb.org/v10?query=9220at7898	thyroid adenoma-associated protein homolog
9258at7898	Complete	NC_007118.7	69205485	69298139	-	2279.5	1192	https://www.orthodb.org/v10?query=9258at7898	PH domain leucine-rich repeat-containing protein phosphatase 2
9337at7898	Complete	NC_007131.7	25448153	25472125	+	2147.5	1082
9402at7898	Complete	NC_007125.7	7324830	7372658	-	1788.4	971	https://www.orthodb.org/v10?query=9402at7898	trafficking protein particle complex subunit 11
9404at7898	Complete	NC_007134.7	31981795	32006280	+	2002.7	985	https://www.orthodb.org/v10?query=9404at7898	PAN2-PAN3 deadenylation complex catalytic subunit PAN2
9519at7898	Complete	NC_007128.7	2610703	2684907	-	1712.6	960	https://www.orthodb.org/v10?query=9519at7898	Protein tyrosine phosphatase, non-receptor type 21
9616at7898	Complete	NC_007120.7	21795916	21816230	+	1473.9	862	https://www.orthodb.org/v10?query=9616at7898	DNA repair protein REV1
9688at7898	Complete	NC_007113.7	35854777	35873403	+	2024.5	1043	https://www.orthodb.org/v10?query=9688at7898	ATP-dependent RNA helicase A
9725at7898	Complete	NC_007123.7	13348928	13389586	+	1905.2	1031
9836at7898	Complete	NC_007127.7	43291873	43317923	-	1748.5	856	https://www.orthodb.org/v10?query=9836at7898	WASH complex subunit strumpellin
9840at7898	Complete	NC_007132.7	38745113	38795080	+	1578.9	913	https://www.orthodb.org/v10?query=9840at7898	HEAT repeat-containing protein 6
9905at7898	Complete	NC_007136.7	28719774	28768413	-	2156.7	1052	https://www.orthodb.org/v10?query=9905at7898	WASH complex subunit 7
10070at7898	Complete	NC_007113.7	44514316	44542509	+	1226.1	835
10116at7898	Complete	NC_007128.7	8754425	8791561	+	1896.6	998	https://www.orthodb.org/v10?query=10116at7898	Erythroid differentiation regulatory factor 1
